,Unnamed: 0,name,rating,style,price,street address,reviews,city,url,reviews_processed,style_processed,bag_of_words
182,182,NARO,4.5,korean,fine-dining,610 5th Ave,"amazing quality food.  the chefs here are creating masterpieces.    the vegetarian options are insanely imaginative.   the mushrooms, the veggies, the..., work lunch review:

if naro is meant to be the sweet spot between underwhelming atoboy and overpriced atomix, then it succeeds at offering the best of both...., loved this place. the food was fantastic, though my husband said he left hungry (it was admittedly a bit less food than i would've liked but i was fine at...",new york city,https://www.yelp.com/biz/naro-new-york?adjust_creative=poaE66MvnpKuwjo08pSL0Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=poaE66MvnpKuwjo08pSL0Q,amaze quality food chef create masterpiece vegetarian option insanely imaginative mushroom veggie work lunch review naro mean sweet spot underwhelming atoboy overprice atomix succeed offer best love place food fantastic though husband say leave hungry admittedly bit le food would like fine,korean,korean amaze quality food chef create masterpiece vegetarian option insanely imaginative mushroom veggie work lunch review naro mean sweet spot underwhelming atoboy overprice atomix succeed offer best love place food fantastic though husband say leave hungry admittedly bit le food would like fine
184,184,Dumpling N' Dips,4.5,dim sum,cheap-eats,5 St Marks Pl,"my first time to try dumplings in thai taste with 4 kinds of dipping sauce  food is so good and reasonable price . nice decoration good to try when you..., love dumpling and dips, my favorite dumpling spot where i have become a regular and stop by monthly, every time i am in the saint marks area for..., came here around 8pm on a friday and it was pretty full. it's a small location so definitely expect a wait if you have more than 2 people in your party. we...",new york city,https://www.yelp.com/biz/dumpling-n-dips-new-york-2?adjust_creative=poaE66MvnpKuwjo08pSL0Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=poaE66MvnpKuwjo08pSL0Q,first time try dumpling thai taste kind dip sauce food good reasonable price nice decoration good try love dumpling dip favorite dumpling spot become regular stop monthly every time saint mark area come around friday pretty full small location definitely expect wait people party,dim sum,dim sum first time try dumpling thai taste kind dip sauce food good reasonable price nice decoration good try love dumpling dip favorite dumpling spot become regular stop monthly every time saint mark area come around friday pretty full small location definitely expect wait people party
185,185,Yakiniku West,4.0,"barbeque, izakaya",mid-range,218 E 9th St,"i visited this restaurant specifically for some udon and was pleased to find that the interior decor provided an authentic japanese atmosphere. during our..., my friends and i (party of 4 ) stopped by on a saturday evening without reservation and was seated pretty quickly on the second floor. we were the first..., saw an instagram video and found out this place offered beef tongue and liver sashimi so came here to try it out. i absolutely love tongue, but this was...",new york city,https://www.yelp.com/biz/yakiniku-west-new-york?adjust_creative=poaE66MvnpKuwjo08pSL0Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=poaE66MvnpKuwjo08pSL0Q,visit restaurant specifically udon please find interior decor provide authentic japanese atmosphere friend party stop saturday evening without reservation seat pretty quickly second floor first saw instagram video find place offer beef tongue liver sashimi come try absolutely love tongue,barbeque izakaya,barbeque izakaya visit restaurant specifically udon please find interior decor provide authentic japanese atmosphere friend party stop saturday evening without reservation seat pretty quickly second floor first saw instagram video find place offer beef tongue liver sashimi come try absolutely love tongue
186,186,TADA Korean Fried Chicken,4.5,"korean, chicken wings",mid-range,70 Bayard St,"just go. don't think. get the fired chicken and be blown away. 

i never write reviews. just too lazy. but this place was unreal, i visited tada because of an instagram reel. the chicken looked delicious so i made a note to come here.

my server was very attentive. she placed a salad..., thoroughly enjoyed my meal here! split the $25 combo with a friend and it was good. the sweet and spicy was my favorite.

staff is very friendly. loved the...",new york city,https://www.yelp.com/biz/tada-korean-fried-chicken-new-york?adjust_creative=poaE66MvnpKuwjo08pSL0Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=poaE66MvnpKuwjo08pSL0Q,go think get fired chicken blow away never write review lazy place unreal visit tada instagram reel chicken look delicious make note come server attentive place salad thoroughly enjoy meal split combo friend good sweet spicy favorite staff friendly love,korean chicken wing,korean chicken wing go think get fired chicken blow away never write review lazy place unreal visit tada instagram reel chicken look delicious make note come server attentive place salad thoroughly enjoy meal split combo friend good sweet spicy favorite staff friendly love
188,188,Fornino,4.0,"italian, pizza",mid-range,Pier 6 Brooklyn Bridge Park,"my friend and i went to the location inside the time out market next to the brooklyn bridge. it's located on the 5th floor. 
since it is in a food hall, we..., slightly overpriced but decent pizza, apps, and sangria pitchers! definitely one of those places to go for the vibe but not necessarily if you are looking..., fornino in brooklyn bridge park is such a great location. a rooftop area, a more casual sitting area downstairs where you can bring your pup - they nailed...",new york city,https://www.yelp.com/biz/fornino-brooklyn-5?adjust_creative=poaE66MvnpKuwjo08pSL0Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=poaE66MvnpKuwjo08pSL0Q,friend go location inside time market next brooklyn bridge locate floor since food hall slightly overprice decent pizza apps sangria pitcher definitely one place go vibe necessarily look fornino brooklyn bridge park great location rooftop area casual sit area downstairs bring pup nail,italian pizza,italian pizza friend go location inside time market next brooklyn bridge locate floor since food hall slightly overprice decent pizza apps sangria pitcher definitely one place go vibe necessarily look fornino brooklyn bridge park great location rooftop area casual sit area downstairs bring pup nail
190,190,Haenyeo,4.0,"korean, cocktail bars",mid-range,239 5th Ave,"celebrated new years eve here with a part of four. as a korean-american, i did have some apprehension that this place would be too ""fusion"" and not..., it is super difficult for me to write this review because i want to support asian owned businesses. however, when a restaurant is blatantly hiking prices..., my wife and i came here for a date with each other on a weeknight. they were able to seat us immediately though it seemed like most of the patrons coming in...",new york city,https://www.yelp.com/biz/haenyeo-brooklyn?adjust_creative=poaE66MvnpKuwjo08pSL0Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=poaE66MvnpKuwjo08pSL0Q,celebrate new year eve part four apprehension place would fusion super difficult write review want support asian business however restaurant blatantly hike price wife come date weeknight able seat u immediately though seem like patron come,korean cocktail bar,korean cocktail bar celebrate new year eve part four apprehension place would fusion super difficult write review want support asian business however restaurant blatantly hike price wife come date weeknight able seat u immediately though seem like patron come
191,191,Dollar Hits - New York,4.5,filipino,cheap-eats,39-04 64th St,"food: good.
service: good,
ambiance: good
price: reasonable
parking: street (this gets a bit difficult within the area)
overall: 3/5, dollar hits had great food and friendly, informative service for this first-time visitor. i didn't know if the sisig would be intimidating for me, but i..., ok i'm obsessed with this spot. everything i had was so good and i constantly think about how good the sisig here is. the flavors roaming my mouth had me on...",new york city,https://www.yelp.com/biz/dollar-hits-new-york-new-york?adjust_creative=poaE66MvnpKuwjo08pSL0Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=poaE66MvnpKuwjo08pSL0Q,food good service good ambiance good price reasonable parking street get bit difficult within area overall dollar hit great food friendly informative service visitor know sisig would intimidate ok obsess spot everything good constantly think good sisig flavor roam mouth,filipino,filipino food good service good ambiance good price reasonable parking street get bit difficult within area overall dollar hit great food friendly informative service visitor know sisig would intimidate ok obsess spot everything good constantly think good sisig flavor roam mouth
192,192,Seamore’s Dumbo,3.5,"seafood, cocktail bars, breakfast & brunch",mid-range,66 Water St,"i live in the neighborhood and seamores is my go to place.  i love the staff and how my preferred glass of wine always appears in front of me.  the food is..., o4/14/23: another great seated find.
fresh seafood one of the best cosmos i've had in a while. don't get me started on the clam chowder. a bit taken aback..., picked up lunch from here on multiple occasions and the tacos + mac and cheese are yummy! can't say i've ever had 2 tacos fill me up, but they were good....",new york city,https://www.yelp.com/biz/seamore-s-dumbo-brooklyn-3?adjust_creative=poaE66MvnpKuwjo08pSL0Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=poaE66MvnpKuwjo08pSL0Q,live neighborhood seamores go place love staff preferred glass wine always appear front food another great seat find fresh seafood one best cosmos get start clam chowder bit take aback pick lunch multiple occasion taco mac cheese yummy ca say ever taco fill good,seafood cocktail bar breakfast brunch,seafood cocktail bar breakfast brunch live neighborhood seamores go place love staff preferred glass wine always appear front food another great seat find fresh seafood one best cosmos get start clam chowder bit take aback pick lunch multiple occasion taco mac cheese yummy ca say ever taco fill good
194,194,Ginger and Lemongrass,4.0,"vietnamese, thai, asian fusion",mid-range,153 Rivington St,"i highly recommend ginger and lemongrass in the lower eastside of manhattan, nyc!

this cute, quaint vietnamese spot offers a variety of delicious..., ginger and lemongrass was founded by a european couple who fell in love with the flavors of southeast asia, studied those flavors in their country of..., my friend and i came on a sunday afternoon. i expected a wait but the place wasn't busy at all and we were seated immediately. we shared the beef wrapped in...",new york city,https://www.yelp.com/biz/ginger-and-lemongrass-new-york-2?adjust_creative=poaE66MvnpKuwjo08pSL0Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=poaE66MvnpKuwjo08pSL0Q,highly recommend ginger lemongrass lower eastside manhattan nyc cute quaint vietnamese spot offer variety delicious ginger lemongrass found european couple fell love flavor southeast asia study flavor country friend come sunday afternoon expect wait place busy seat immediately share beef wrap,vietnamese thai asian fusion,vietnamese thai asian fusion highly recommend ginger lemongrass lower eastside manhattan nyc cute quaint vietnamese spot offer variety delicious ginger lemongrass found european couple fell love flavor southeast asia study flavor country friend come sunday afternoon expect wait place busy seat immediately share beef wrap
195,195,Sea Wolf - Williamsburg Waterfront,4.0,seafood,mid-range,420 Kent Ave,"learned of this place because my friend came from out of town and visited the other location. she highly recommended it b/c the food options and drinks...., i read nice reviews for restaurant. 
my friends and i decided to go.
this place has a beautiful view from the window.
and mirror ... it's instagram..., i always ordered the shrimp basket it use to be spicy and delicious however went yesterday and it was soggy, greasy and no taste to the shrimp.  what...",new york city,https://www.yelp.com/biz/sea-wolf-williamsburg-waterfront-brooklyn?adjust_creative=poaE66MvnpKuwjo08pSL0Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=poaE66MvnpKuwjo08pSL0Q,learn place friend come town visit location highly recommend food option drink read nice review restaurant friend decide go place beautiful view window mirror instagram always order shrimp basket use spicy delicious however go yesterday soggy greasy taste shrimp,seafood,seafood learn place friend come town visit location highly recommend food option drink read nice review restaurant friend decide go place beautiful view window mirror instagram always order shrimp basket use spicy delicious however go yesterday soggy greasy taste shrimp
196,196,Honest,4.5,indian,mid-range,176 Bleecker St,"went back to honest just a week later and brought my fiancé. (i felt bad keeping it to myself.)

we shared a thali, the bhaji pav (+ cheese), and a rose..., i've never had indian fast food before going to @nychonest and it was definitely very different from what i usually have in indian restaurants here! 

the..., i had masala dosa which was very good, well spiced potatoes, with tasty sambhar and coconut chutney. very satisfying! 
order upfront and grab table in...",new york city,https://www.yelp.com/biz/honest-new-york?adjust_creative=poaE66MvnpKuwjo08pSL0Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=poaE66MvnpKuwjo08pSL0Q,go back honest week later bring fiancé felt bad keep share thali bhaji pav cheese rise never indian fast food go nychonest definitely different usually indian restaurant masala dosa good well spice potato tasty sambhar coconut chutney satisfy order upfront grab table,indian,indian go back honest week later bring fiancé felt bad keep share thali bhaji pav cheese rise never indian fast food go nychonest definitely different usually indian restaurant masala dosa good well spice potato tasty sambhar coconut chutney satisfy order upfront grab table
198,198,Kogane Ramen-Brooklyn Heights,4.0,ramen,mid-range,76 Henry St,"a cute ramen shop, the service was quick and the waiters were super friendly! i ordered the tonkatsu ramen and pork gyoza -- the portion sizes were good but..., can i even call this place a hidden gem , i mean all the seats were pretty filled . this was a split second last minute decision if that makes any sense..., kogane is a restaurant chain that serves delicious ramen. we visited their brooklyn heights branch for sunday lunch. although they have outdoor seating we...",new york city,https://www.yelp.com/biz/kogane-ramen-brooklyn-heights-brooklyn?adjust_creative=poaE66MvnpKuwjo08pSL0Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=poaE66MvnpKuwjo08pSL0Q,cute ramen shop service quick waiter super friendly order tonkatsu ramen pork gyoza portion size good even call place hidden gem mean seat pretty fill split second last minute decision make sense kogane restaurant chain serve delicious ramen visit brooklyn height branch sunday lunch although outdoor seating,ramen,ramen cute ramen shop service quick waiter super friendly order tonkatsu ramen pork gyoza portion size good even call place hidden gem mean seat pretty fill split second last minute decision make sense kogane restaurant chain serve delicious ramen visit brooklyn height branch sunday lunch although outdoor seating
199,199,Rosemary’s,4.0,"italian, wine bars, pizza",mid-range,350 1st Ave,"great food. prices are decent, wine selection is good, their spritzes are fantastic. nice space with lots of seating options. friendly employees galore., experience good in terms of food and service. burrata pizza was a bit too wet but flavor and bread was good. i'd get pizza here again but not that one. my..., very, very nice ambiance with lovely large windows with white framing. rather large space for the area. modern yet sort of boho chic decor and ambiance with...",new york city,https://www.yelp.com/biz/rosemary-s-new-york?adjust_creative=poaE66MvnpKuwjo08pSL0Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=poaE66MvnpKuwjo08pSL0Q,great food price decent wine selection good spritz fantastic nice space lot seat option friendly employee experience good term food service burrata pizza bit wet flavor bread good get pizza one nice ambiance lovely large window white framing rather large space area modern yet sort boho chic decor ambiance,italian wine bar pizza,italian wine bar pizza great food price decent wine selection good spritz fantastic nice space lot seat option friendly employee experience good term food service burrata pizza bit wet flavor bread good get pizza one nice ambiance lovely large window white framing rather large space area modern yet sort boho chic decor ambiance
200,200,Banter,4.5,"breakfast & brunch, coffee & tea, acai bowls",mid-range,643 Hudson St,"so happy i found this restaurant on my way out of the city. the lunch here was fantastic and i can not wait to return here on my next visit to the village...., banter is one of my favorite brunch spots in the city! they don't accept reservations which i personally enjoy - we were able to sit down immediately on a..., went here with my friend and her brother. we had to set a reservation and that went super smoothly. we waited for like ten minutes and then we're brought...",new york city,https://www.yelp.com/biz/banter-new-york-3?adjust_creative=poaE66MvnpKuwjo08pSL0Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=poaE66MvnpKuwjo08pSL0Q,happy find restaurant way city lunch fantastic wait return next visit village banter one favorite brunch spot city accept reservation personally enjoy able sit immediately go friend brother set reservation go super smoothly wait like ten minute bring,breakfast brunch coffee tea acai bowl,breakfast brunch coffee tea acai bowl happy find restaurant way city lunch fantastic wait return next visit village banter one favorite brunch spot city accept reservation personally enjoy able sit immediately go friend brother set reservation go super smoothly wait like ten minute bring
201,201,Davelle,4.0,"japanese, breakfast & brunch, cafes",mid-range,102 Suffolk St,"came here with my friend around 4 pm on a tuesday. we were lucky enough to get a table right away. loved their matcha latte and mentai spaghetti. however,..., 1. the toast of this house should be relatively famous. i think their cream cheese is delicious, but the blueberry jam is a little too sweet, and the toast..., instagramable toast but thats about it. entrees were pretty plain (i'll admit that the curry has an awesome waftable smell) and the toast was pretty...",new york city,https://www.yelp.com/biz/davelle-new-york-2?adjust_creative=poaE66MvnpKuwjo08pSL0Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=poaE66MvnpKuwjo08pSL0Q,come friend around pm tuesday lucky enough get table right away love matcha latte mentai spaghetti however toast house relatively famous think cream cheese delicious blueberry jam little sweet toast instagramable toast thats entree pretty plain admit curry awesome waftable smell toast pretty,japanese breakfast brunch cafe,japanese breakfast brunch cafe come friend around pm tuesday lucky enough get table right away love matcha latte mentai spaghetti however toast house relatively famous think cream cheese delicious blueberry jam little sweet toast instagramable toast thats entree pretty plain admit curry awesome waftable smell toast pretty
202,202,Luke's Lobster Brooklyn Bridge Park,4.0,"seafood, soup, sandwiches",mid-range,11 Water St,"this was my third stop for a lobster role in nyc and it was great. my first was from the luke's on the upper east side. lobster was just as fresh and the..., after almost 20 minutes waiting in line, we finally ordered luke's trio, a sampler which includes their 2 oz lobster roll, 2 oz crab roll, and 2 oz shrimp..., the luke's lobster is somewhat expensive but they do make super super delicious lobster rolls. they are super generous on the lobster portion. if it says 4...",new york city,https://www.yelp.com/biz/lukes-lobster-brooklyn-bridge-park-brooklyn-2?adjust_creative=poaE66MvnpKuwjo08pSL0Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=poaE66MvnpKuwjo08pSL0Q,third stop lobster role nyc great first luke upper east side lobster fresh almost minute wait line finally order luke trio sampler include oz lobster roll oz crab roll oz shrimp luke lobster somewhat expensive make super super delicious lobster roll super generous lobster portion say,seafood soup sandwich,seafood soup sandwich third stop lobster role nyc great first luke upper east side lobster fresh almost minute wait line finally order luke trio sampler include oz lobster roll oz crab roll oz shrimp luke lobster somewhat expensive make super super delicious lobster roll super generous lobster portion say
204,204,Westville,4.0,mediterranean,mid-range,88 7th Ave,"this is a cute little restaurant.
it was lively when i entered. there was about one table empty however, the bar had about 5 seats available. i sat at the..., westville chelsea - new location, now on 88 seventh avenue. it still packs a tight dining room but it definitely can seat plenty of people. this place was..., went here with a high school friend to catch up and she raved about the restaurant so we decided to give it a try. i ordered a market plate with salmon and...",new york city,https://www.yelp.com/biz/westville-new-york-11?adjust_creative=poaE66MvnpKuwjo08pSL0Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=poaE66MvnpKuwjo08pSL0Q,cute little restaurant lively enter one table empty however bar seat available sit westville chelsea new location seventh avenue still pack tight dining room definitely seat plenty people place go high school friend catch rave restaurant decide give try order market plate salmon,mediterranean,mediterranean cute little restaurant lively enter one table empty however bar seat available sit westville chelsea new location seventh avenue still pack tight dining room definitely seat plenty people place go high school friend catch rave restaurant decide give try order market plate salmon
205,205,Namkeen,4.0,"chicken shop, halal, waffles",mid-range,338 Bedford Ave,"their maple wings are spectacular. syrupy with a honey consistency coating atop warm perfectly melded blend of secret spices i can only guess to be dark..., heard about namkeen on tiktok and honestly was pretty disappointed. maybe we ordered the wrong things, but we weren't too impressed. we got the pataka fries..., this place is a small neighborhood  spot that recently  sprung up that specializes  in nashville style  hot chicken sandwiches. this place is so modern,...",new york city,https://www.yelp.com/biz/namkeen-new-york?adjust_creative=poaE66MvnpKuwjo08pSL0Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=poaE66MvnpKuwjo08pSL0Q,maple wing spectacular syrupy honey consistency coat atop warm perfectly meld blend secret spice guess dark hear namkeen tiktok honestly pretty disappointed maybe order wrong thing impressed get pataka fry place small neighborhood spot recently spring specialize nashville style hot chicken sandwich place modern,chicken shop halal waffle,chicken shop halal waffle maple wing spectacular syrupy honey consistency coat atop warm perfectly meld blend secret spice guess dark hear namkeen tiktok honestly pretty disappointed maybe order wrong thing impressed get pataka fry place small neighborhood spot recently spring specialize nashville style hot chicken sandwich place modern
206,206,Verlaine,4.0,"tapas/small plates, cocktail bars, vietnamese",mid-range,110 Rivington St,"this is a place you have to stop by when visiting nyc. they have a great happy hour menu. the ambiance and atmosphere in here is a vibe. you can come solo..., what a beautiful spot! i was in ny visiting my peoples, and a friend suggested we go to verlaine for their great happy hour. so glad that we..., great place for a well priced happy hour or to start a night. you seriously cannot beat their lychee martinis! delicious food as well - smallish plates....",new york city,https://www.yelp.com/biz/verlaine-new-york-2?adjust_creative=poaE66MvnpKuwjo08pSL0Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=poaE66MvnpKuwjo08pSL0Q,place stop visit nyc great happy hour menu ambiance atmosphere vibe come solo beautiful spot ny visit people friend suggest go verlaine great happy hour glad great place well price happy hour start night seriously beat lychee martini delicious food well smallish plate,plate cocktail bar vietnamese,plate cocktail bar vietnamese place stop visit nyc great happy hour menu ambiance atmosphere vibe come solo beautiful spot ny visit people friend suggest go verlaine great happy hour glad great place well price happy hour start night seriously beat lychee martini delicious food well smallish plate
207,207,Hanoi House,4.0,vietnamese,mid-range,119 Saint Marks Pl,"my vietnamese friend recommended this place to me noting they have authentic northern style pho. i very much enjoyed the classic pho! the broth was super..., a more ""upscale"" vietnamese spot compared to others in the city, hanoi house offered a cozy & intimate environment with soothing pho dishes reminiscent of..., been looking for a good pho place in manhattan and @hanoi.house totally hits the spot! not gonna lie that i'm not as used to this style of pho without loads...",new york city,https://www.yelp.com/biz/hanoi-house-new-york?adjust_creative=poaE66MvnpKuwjo08pSL0Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=poaE66MvnpKuwjo08pSL0Q,vietnamese friend recommend place note authentic northern style pho much enjoyed classic pho broth super upscale vietnamese spot compare others city hanoi house offer cozy intimate environment soothe pho dish reminiscent look good pho place manhattan totally hit spot gon na lie use style pho without load,vietnamese,vietnamese vietnamese friend recommend place note authentic northern style pho much enjoyed classic pho broth super upscale vietnamese spot compare others city hanoi house offer cozy intimate environment soothe pho dish reminiscent look good pho place manhattan totally hit spot gon na lie use style pho without load
209,209,Coletta,4.5,"vegan, vegetarian, italian",mid-range,365 3rd Ave,"we went here not knowing it was all vegan. what a lovely surprise as i'm a vegan-leaning vegetarian. 
the food was phenomenal, the service was courteous and..., this was our second time visiting coletta within two days!

my boyfriend and i initially went to visit on sunday april 2nd, and we returned the following..., the food here is amazing but the service ruins the experience. 
tldr:
- long wait times (1 hour to get 1 pizza? 3 hours total)
- if you have allergies you...",new york city,https://www.yelp.com/biz/coletta-new-york-2?adjust_creative=poaE66MvnpKuwjo08pSL0Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=poaE66MvnpKuwjo08pSL0Q,go know vegan lovely surprise vegetarian food phenomenal service courteous second time visit coletta within two day boyfriend initially go visit sunday april return following food amazing service ruin experience tldr long wait time hour get pizza hour total allergy,vegan vegetarian italian,vegan vegetarian italian go know vegan lovely surprise vegetarian food phenomenal service courteous second time visit coletta within two day boyfriend initially go visit sunday april return following food amazing service ruin experience tldr long wait time hour get pizza hour total allergy
210,210,Hao Noodle Chelsea,4.5,"chinese, barbeque, noodles",mid-range,343 W 14th St,"hao noodle is an absolutely incredible restaurant in chelsea, and i can't recommend it enough. from the moment you step inside, you're greeted with warm..., such a great spot!

went yesterday with pulsd and it was a fantastic dinner. the restaurant itself is spacious with front seating and a back area with lots..., hao noodle is an aesthetic chinese restaurant located in chelsea. the interior has a beautiful atrium and skylight with large communal tables and small...",new york city,https://www.yelp.com/biz/hao-noodle-chelsea-new-york-7?adjust_creative=poaE66MvnpKuwjo08pSL0Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=poaE66MvnpKuwjo08pSL0Q,hao noodle absolutely incredible restaurant chelsea ca recommend enough moment step inside greet warm great spot go yesterday pulsd fantastic dinner restaurant spacious front seating back area lot hao noodle aesthetic chinese restaurant locate chelsea interior beautiful atrium skylight large communal table small,chinese barbeque noodle,chinese barbeque noodle hao noodle absolutely incredible restaurant chelsea ca recommend enough moment step inside greet warm great spot go yesterday pulsd fantastic dinner restaurant spacious front seating back area lot hao noodle aesthetic chinese restaurant locate chelsea interior beautiful atrium skylight large communal table small
213,213,The Fulton by Jean-Georges,3.5,"seafood, live/raw food",mid-range,89 South St,"i had the pleasure of dining at the fulton by jean-georges on valentine's day and our anniversary, and it was indeed an unforgettable experience. we were..., i had a solo lunch for nyc restaurant week. service was ok. portions were smaller, and i had to take dessert home. 

appetizer: yellow tuna tartare
this..., man, oh man.
do i love jean-georges restaurants...

we were completely surprised at how great the fulton was this evening. we don't typically frequent the...",new york city,https://www.yelp.com/biz/the-fulton-by-jean-georges-new-york-2?adjust_creative=poaE66MvnpKuwjo08pSL0Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=poaE66MvnpKuwjo08pSL0Q,pleasure din fulton valentine day anniversary indeed unforgettable experience solo lunch nyc restaurant week service portion smaller take dessert home appetizer yellow tuna tartare man oh man love restaurant completely surprise great fulton evening typically frequent,seafood food,seafood food pleasure din fulton valentine day anniversary indeed unforgettable experience solo lunch nyc restaurant week service portion smaller take dessert home appetizer yellow tuna tartare man oh man love restaurant completely surprise great fulton evening typically frequent
215,215,Da Long Yi Hot Pot,4.5,"hot pot, szechuan",mid-range,159 Canal St,"great food and service, the beef and lamb are both very fresh and tasty. would definitely recommend., the food and service are pretty good. i really enjoy the experience having dining here, food is very fresh. tasty really good. i love the beef tendon most. service is super patient and nice. atmosphere is great.",new york city,https://www.yelp.com/biz/da-long-yi-hot-pot-new-york-4?adjust_creative=poaE66MvnpKuwjo08pSL0Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=poaE66MvnpKuwjo08pSL0Q,great food service beef lamb fresh tasty would definitely food service pretty good really enjoy experience din food fresh tasty really good love beef tendon service super patient nice atmosphere great,hot pot szechuan,hot pot szechuan great food service beef lamb fresh tasty would definitely food service pretty good really enjoy experience din food fresh tasty really good love beef tendon service super patient nice atmosphere great
217,217,Barely Disfigured,4.5,"cocktail bars, tapas bars",mid-range,257 Smith St,"this is an incredible place! 
one of the best for me!

this is a place with its own atmosphere.
i love cocktails and wine in this cafe.
they also have a..., dimly lit and orderly cocktail bar. hostess at the front to seat. not a typical bar where you grab a spot and self serve. everything is organized by the..., apparently this place used to be a former brothel, which tips you off to that given the luxurious bed taking center stage in the back room. some patrons sit...",new york city,https://www.yelp.com/biz/barely-disfigured-brooklyn-3?adjust_creative=poaE66MvnpKuwjo08pSL0Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=poaE66MvnpKuwjo08pSL0Q,incredible place one best place atmosphere love cocktail wine cafe also dimly lit orderly cocktail bar hostess front seat typical bar grab spot self serve everything organize apparently place use former brothel tip give luxurious bed take center stage back room patron sit,cocktail bar tapa bar,cocktail bar tapa bar incredible place one best place atmosphere love cocktail wine cafe also dimly lit orderly cocktail bar hostess front seat typical bar grab spot self serve everything organize apparently place use former brothel tip give luxurious bed take center stage back room patron sit
219,219,Barbalu Restaurant,4.0,"italian, cocktail bars, food delivery services",mid-range,225-227 Front St,"great neighborhood restaurant good ambience attentive staff. good wines by the glass. the burrata wood fired shuto is always a good starter my halibut was..., overall experience was nice, i made a reservation for brunch at 11am for a saturday....and upon arrival, no one was in the restaurant except a couple..., what a gorgeous restaurant! i got the chicken milanese with arugula salad. the chicken was delicious and well executed and the salad was fresh and perfectly...",new york city,https://www.yelp.com/biz/barbalu-restaurant-new-york?adjust_creative=poaE66MvnpKuwjo08pSL0Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=poaE66MvnpKuwjo08pSL0Q,great neighborhood restaurant good ambience attentive staff good wine glass burrata wood fired shuto always good starter halibut overall experience nice make reservation brunch saturday upon arrival one restaurant except couple gorgeous restaurant get chicken milanese arugula salad chicken delicious well execute salad fresh perfectly,italian cocktail bar food delivery service,italian cocktail bar food delivery service great neighborhood restaurant good ambience attentive staff good wine glass burrata wood fired shuto always good starter halibut overall experience nice make reservation brunch saturday upon arrival one restaurant except couple gorgeous restaurant get chicken milanese arugula salad chicken delicious well execute salad fresh perfectly
221,221,Zou Zou’s,4.0,"mediterranean, american (new)",mid-range,385 9th Ave,"food: 5/5 | service: 5/5 | experience: 5/5

i had an amazing birthday dinner at zou zou's last year and finally had the time to write a proper review, so..., service can definitely use a tune up. 
food was sub par. location though is unbeatable.

won't come back, wouldn't recommend neither., amazing whipped ricotta dip!

i thought the overall ambiance and service were good, very chill and ideal for a weekday lunch. 
i felt like there were not...",new york city,https://www.yelp.com/biz/zou-zou-s-new-york-3?adjust_creative=poaE66MvnpKuwjo08pSL0Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=poaE66MvnpKuwjo08pSL0Q,food service experience amazing birthday dinner zou zou last year finally time write proper review service definitely use tune food sub par location though unbeatable wo come back would recommend amaze whip ricotta dip think overall ambiance service good chill ideal weekday lunch felt like,mediterranean american new,mediterranean american new food service experience amazing birthday dinner zou zou last year finally time write proper review service definitely use tune food sub par location though unbeatable wo come back would recommend amaze whip ricotta dip think overall ambiance service good chill ideal weekday lunch felt like
